Name,,,,,,
Date,,,,,,
Living Carbon leaf mass from 2022 field season,,,,,,
,,,,,,
,,,,,,
row,column,ID,Leaf 1,Leaf 2,Leaf 3,
1,1,LCOR-1143,,,,border tree
2,1,LCOR-1088,,,,border tree
3,1,LCOR-1141,,,,border tree
4,1,LCOR-1064,,,,border tree
5,1,LCOR-1145,,,,border tree
6,1,LCOR-1150,,,,border tree
7,1,LCOR-1071,,,,border tree
8,1,LCOR-1247,,,,border tree
9,1,LCOR-1024,,,,border tree
10,1,LCOR-1057,,,,border tree
11,1,LCOR-1060,,,,border tree
12,1,LCOR-1063,,,,border tree
13,1,LCOR-1081,,,,border tree
14,1,LCOR-1097,,,,border tree
15,1,LCOR-1199,,,,border tree
16,1,LCOR-1053,,,,border tree
1,2,LCOR-1101,,,,border tree
2,2,LCOR-1137,,,,border tree
3,2,LCOR-1075,,,,border tree
4,2,LCOR-1022,,,,border tree
5,2,LCOR-1061,,,,border tree
6,2,LCOR-1078,,,,border tree
7,2,LCOR-1080,,,,border tree
8,2,LCOR-1085,,,,border tree
9,2,LCOR-1091,,,,border tree
10,2,LCOR-1106,,,,border tree
11,2,LCOR-1163,,,,border tree
12,2,LCOR-1168,,,,border tree
13,2,LCOR-1183,,,,border tree
14,2,LCOR-1187,,,,border tree
15,2,LCOR-1198,,,,border tree
16,2,LCOR-1076,,,,border tree
1,3,LCOR-1001,,,,border tree
2,3,LCOR-125,,,,
3,3,LCOR-064,,,,
4,3,LCOR-173,,,,
5,3,LCOR-104,,,,
6,3,LCOR-552,,,,
7,3,LCOR-395,,,,
8,3,LCOR-228,,,,
9,3,LCOR-362,,,,
10,3,LCOR-259,,,,
11,3,LCOR-258,,,insect,
12,3,LCOR-188,,,,
13,3,LCOR-294,,,,
14,3,LCOR-253,,,,
15,3,LCOR-213,,,,
16,3,LCOR-1047,,,,border tree
1,4,LCOR-1002,,,,border tree
2,4,LCOR-087,,,,
3,4,LCOR-308,,,,
4,4,LCOR-249,,,,
5,4,LCOR-244,,,,
6,4,LCOR-607,,,,
7,4,LCOR-396,,,,
8,4,LCOR-325,,,,
9,4,LCOR-054,,,,
10,4,LCOR-109,,,,dead
11,4,LCOR-268,,,,
12,4,LCOR-328,,,,
